reviewer_name,review_content,review_point,product_id
VÕ THỊ KIM TUYỀN,"Bếp xài okie, mình xài kỹ nên thấy ko có vấn đề gì cả",5.0,1
Thưởng,Giá thành rẻ xài cũng ok phù hợp cho sinh viên gd xài,4.0,1
Anh Giang,Sản phẩn ok,5.0,1
Trần Minh Nhựt,Ổn trong tầm giá,4.0,1
Dương Thị Phương Liên,Sp tốt nên mua,5.0,1
Trần Xuân Trường,Khá ổn,5.0,1
Lê Minh Lộc,Ok tốt,4.0,1
Tâm,Biếp mua về lâu nóng hơn so với các biếp khác,3.0,1
Nguyễn,Tôt,5.0,1
Tuấn,Tốt,5.0,1
Nguyễn Thị Thùy Dung,Okie shop nhé.,4.0,1
Tuấn,Quá thất vọng. Mua được tháng bếp nấu chưa nổi 15p tự ngắt thì nấu được cái gì vậy.,1.0,1
Huyền Trần,Bếp xài tiếng êm ru ko nghe ồn,5.0,1
Phạm Hoài Bảo,Ok,4.0,1
Bùi Thị Nhiều,Ok ạ,4.0,1
Võ Hoài Phương,"K sôi lên được, chỉ dùng ham nóng canh vs đo ăn thui ah",3.0,1
Anh Kiệt,"Cảm nhận sử dụng hài lòng trong mức giá, nhiệt tốt, chỉ mặt bếp ở mức chất lượng trung bình",4.0,1
Chuong Kim Huong,Bếp tốt nấu nhanh chính đồ ăn,5.0,1
Tuan Ngoc,Dùng tốt,5.0,1
Lưu Thi Thuỷ,Rất tốt,4.0,1
Vu,"Tính đánh giá 4 sao vì gọi trong lúc nghỉ trưa, ngủ trưa nhưng vì shiper nhiệt tình giao hàng. Hàng thì có vẻ xài ok, sẽ đánh giá lại nếu có vấn đề xảy ra Rút kinh nghiệm gọi lúc 12h 13h nhé shop mất 1 sao như chơi đấy...",5.0,2
Chú Hiệp,"Chức năng hẹn giờ 10p mỗi lần bấm là không tiện dụng , độ bền chở thời gian.",4.0,2
NGUYỄN VĂN MINH,Ok,4.0,2
Đặng Thị Diệu,Tốt aj,4.0,2
Lê Hoàng An,Dùng khá ổn . Nói chung là tốt,5.0,2
Thùy Trang,Dùng ok,5.0,2
HUỲNH NGỌC TÍN,tốt,5.0,2
Lê Văn Đức,Rất tốt,5.0,2
BÙI NGỌC HÂN,ok,4.0,2
Phan Thị Hết,"Hiện tại nấu tốt,nhanh,hơi ồn tí",5.0,2
Chấn,Cho mình hỏi. Khi dùng xong. Mình ấn tắt bếp vẫn có quạt. Nhưng quạt chỉ quạt được 1 lúc rồi tắt. Quạt tắt nhưng đèn báo nóng vẫn cháy đèn và mặt bếp vẫn nóng. Mình phải ấn khởi động lại thì quạt mới quạt tiếp,3.0,2
Võ Văn Tý,Hiện đang sử dụng ổn định.,5.0,2
Kim Ngân,Mới xài nên thấy tốt. Còn xài về thời gian sau thì sử dụng mới biết,5.0,2
Kim Anh,Rất tốt dùng tiện lắm,5.0,2
Võ Thị Kim Thoa,Sản phẩm dùng rất tốt mọi người nên mua sử dụng,5.0,2
Tiến Đại,Dùng ok lắm ạ,5.0,2
Lê Thị Ngọc Quí,Tốt nóng nhanh,4.0,2
Chinh Võ,Mới sử dụng nên chưa đánh giá bền hay không được 1 năm sau gởi lại tin nhắn thăm dò nhé,4.0,2
Chị Kim The,Ok,5.0,2
Bùi Thị Anh Thư,Ok nhe,5.0,2
Nguyễn Thị Giang,Nấu nhiệt độ 2000 mà rất lâu sôi,1.0,3
Văn Lành,Aaaa,5.0,3
Trần Thị Kim Liên,"Bếp dùng tệ, chưa đến 1 năm mà đã hư, mặt kính dễ trầy xướt, bảo hành thì lâu. Nhà có cái bếp mà đem đi bảo hành 2 tuần ko có gì để nấu cả.",1.0,3
Chị Trúc,"Dòng này xài rất dở, mặt kính không bền. Dù chú ý giữ đáy nồi chảo khô ráo khi sử dụng và thức ăn không bị trào nhưng vẫn rất dễ bị lỗi nứt mặt kính. Mình mua 3 cái vừa dùng cho gia đình vừa dùng cho quán thì bị lỗi nứt mặt kính 2 cái khi vừa hết hạn bảo hành 1 năm. Kiểu mặt kính nó không bền nên cứ đến một thời gian nhất định là hư. Ban đầu mua vì thiết kế đơn giản, nhìn ổn nhưng dùng lâu thì chất lượng thì không ổn tí nào. Đem bảo hành thay mặt kính chính hãng cũng mất thời gian lâu ạ mất từ 24 tuần. Mà giá thay mặt kính chính hãng cũng 350500k/ lần. Nên thường ai ngại chờ đợi thay mặt kính hoặc phải tốn phí thay mặt kính nhiều lần thì sẽ mua thêm cái mới. Mình không đề xuất mua dòng này của hãng này nhé, giá có thể cảm thấy rẻ và thiết kế ổn nhưng chất lượng tệ mua lại và sửa chữa nhiều lần cũng phí tiền ạ.",1.0,3
Chị Trang,Kính bị nất sop ơi. Có bảo hành đc k sốp. Nấu có sợ nổ bục mặt không,2.0,3
Phạm Thành Quốc,Tốt,4.0,3
