reviewer_name,review_content,review_point,product_id
Hà Huy Bảo,"Rất tệ không nên mua, mua 1 đổi 1 thêm gói mở rộng mà điện thoại bị Panic và Reset . Shop Nói không lỗi",1,1
Nguyệt Anh,"Tại sao iPhone 16 prm lại chụp ảnh mờ hơn các loại ip khác, màu không đẹp",3,1
Vu,"Mình nhận hàng từ 27/9 , mình cũng bị tình trạng reset + panic full, thì lỗi này lq đến cứng lẫn mềm , nên mn ai gặp tình trạng đó thì vào SOS tắt hết , nếu còn bị thì tắt cái chú ý bên face ID Trợ năng Face ID dòng 2 . Mình thử và tạm thời 6 ngày rồi chưa bị",5,1
Nguyễn Thịnh,"Chất lượng sản phẩm quá tệ, máy vừa mở hộp đã bị tróc sơn li ti ở sườn mang về nhà soi kĩ mới thấy, người dùng không thể tạo ra được vết như thế, mình có mang ra chỗ mua để đổi nhưng không cho đổi máy khác, không hiểu chính sách 1 đổi 1 kiểu gì trong khi lỗi của nsx, cả 1 cái điện thoại 35tr chứ có ít đâu, đập hộp mà như mua hàng cũ",1,1
Khoa,"Bỏ mấy chục triệu ra để nhận về cục tức. Chế độ bảo hành kiểm tra thì lề mề, bên này đùng đẩy trách nhiệm cho bên kia. Sợ thật sự",1,1
Trang,"Máy mua 1 tuần lỗi đơ màn..pin nhanh hết, để qua đêm k dùng vẫn tuột 6%.nói chung là thất vọng",2,1
Huy,Máy lỗi panic và reset gửi hãng bảo hành đã quá 15 ngày mà vẫn chưa trả máy. Lại hẹn thêm 37 ngày trong khi đó chính sách là ko bảo hành quá 15 ngày bao đổi trả Giải thích giúp,3,1
Mr Toan,"Mơi lây tôi hôm qua, co cam giac cam ưng lâu lâu bi châm, đâu tiên thi ko xem đươc trinh trang Pin, sau khi câp nhât PM thi xem ok. Chăc tư tư hang cung khăc phuc thôi. hi vong xai ôn đinh va ko phai gưi lên hang",3,1
Hoàng Thị Linh,Mình mua bên thế giới di động các bạn bảo điện máy xanh với tgioi di động là 1 . Mua ip 16 promax hqa . Cứ bị lỗi cứ khởi động lại hoài kèm theo máy nhanh hết pin . Sang thắc mắc thì nói do phần mềm . Cài lên ios 18.0.1 vẫn bị . Giờ câu trả lời vẫn cứ là do lỗi phần mêm hãng . Thất vọng vô cùng luôn . Lỗi kêu 1 đổi 1 mà giờ cứ kêu về dùng đi có gì báo lại,1,1
Nguyễn Vân Huy,Nói là lỗi 1 đổi 1 trong 1 tháng đến lúc gửi đi bảo hành thì bảo ko lỗi chạy lại mỗi phần mềm và chạy lại ko cho đổi máy khác trong khi đó các chỗ khác vẫn cho đổi,1,1
Chau,Máy xài chán. Đánh chữ nhảy chậm như rùa,3,1
Nguyễn Duy Phong,Máy mình mua từ 1/10 cũng mấy lần bị tự khởi động lại k biết hãng bảo hành sao,3,1
Thành,Tôi khuyên các bạn có ý định mua 16 thì ko nên mua.nhất là mua ở điện máy xanh và thế giới di động.lúc mua thì bảo hư gì đổi nấy.hư hoặc lỗi là đổi.máy tôi mua về đk một ngày.ngày thứ hai phát hiện lỗi và gửi máy để đổi.thì văn vở các kiểu rồi đi thẩm định.thẩm định thì ko ra kết quả lỗi.mà máy thì lỗi rõ rành rành ra đấy.cả nhân viên của thế giới di động cũng công nhận.mà bọn thẩm định máy ko cho đổi.bảo đổi thì mất 20% phí.vkl.rứa mà đề ra cái chính sách cùi bắp.làm ra đấy để lừa ng mua hàng.văn vở lỗi phần mềm.chạy cập nhật máy là đk.chạy xong cập nhật vẫn bị thì kêu gio lỗi phần mềm.ko đk đổi.mà chính sách đã gi rõ hư gì đổi nấy.giờ máy sản suất ra.tự nhiên lỗi phần mềm rồi đổi lỗi phần cứng.ko cho đổi trả.Các bạn mà mua máy cứ qua fpt mà mua.một đổi một hàng lỗi ngay và luôn.chừa.sau ko bao giờ mua đồ chi ở tddđ.ngán và ngấy luôn.đg bị dụ mua thêm quả bảo hành 700k vkl.tệ,1,1
Ngọc,"Máy bị lỗi sập nguồn,có đem qua bảo hành cơ sở tại cầu diễn nv ko thèm kiểm tra máy. Lúc mk về quê tại ba vì,mk có gọi lên tổng đài,bên tổng đài có báo đem ra cửa hàng tgdd gần nhất để đc bảo hành, mk có đem ra tgdd tản lĩnhba vì bạn nv lại báo đem xuống chỗ mua cầu diễn để bảo hành, mà trước đó mk cũng có đem qua cừa hàng ở cầu diễn rồi ko bạn nào kiểm tra lỗi cho mk cả. Mong tgdd đọc được đánh giá này và liên lạc hỗ trợ bảo hành cho mình",1,1
Tằn Lý,Đơ màn và tự khởi động lại mặc dù đã định dạng và lên ios mới nhất vẫn bị..Gửi đi thẩm định 11 ngày rồi.. còn 4 ngày nữa xem kết luận thế nào,3,1
Phạm Bạch Duy,"Máy vừa mới mua bị hư do nhà sản xuất nhưng không cho đổi, mua thì kêu chính sách bảo hành đổi 1 1. bịp",1,1
Bưng Nguyễn Cao,Ok mà điều dòng mới ios còn mới nên còn nhiều lỗi Hy vọng bản 18.1 sửa tất cả các lỗi sài ổn định hơn,5,1
Nguyện,Máy hay bị sập nguồn liên tục. Giờ tôi phải làm sao. Có đổi máy liền cho tôi được ko,4,1
Ng V Cường,Máy mua từ hôm mở bán đầu tiên cũng hay bị sập nguồn mở lại tần suất có khi ngày 1 có khi 2 ngày 1 . Nhu cầu của m cũng chỉ xem phim lướt mạng xh thôi có cách nào khắc phục ko,3,1
Nguyễn Hiệp,Mình mua về bị lỗi panicfull và reset counter lên hãng kiểm tra tế máy bảo ko sao giờ thì có lúc 2 ngày hiện 1 lần có lúc ngày hiện 3 lần,4,1
Lê Phan Lâm,máy lỗi rành rành ra nói bảo hành 1 đổi 1 xong vòng vo tam quốc bịp bợm,1,1
Lưu Khiết Vỹ,Không thể chấp nhận được mang máy đi bảo hành hơn 10 ngày chưa có kết quả gị. Giờ muốn trả máy lại cho tgdđ do máy bị lỗi chứ ko phải do khách hàng không thích dùng vẫn bị mất 20% giá trị sp . Ủa cầm tiền đi mua máy . Máy hư . Mìn mất tiền trong time chính sách đổi trả.tưởng chính sách của tgdđ tốt hơn mua. Sai lầm,1,1
Thịnh,"tôi bị khởi động lại máy suốt, không hài lòng sản phẩm",2,1
Nguyệt,Lỗi reset và panic có đổi được không,1,1
Lê Anh Đức,hơi nóng,5,1
Nguyễn Quốc Hiệp,"máy bị đơ cảm ứng,",1,1
Nguyễn Ngọc Hà Tiên,"Màn hình đơ, có quay video đến hỗ trợ kỹ thuật để đổi vì lỗi thì bảo phải gửi về hãng 10 đến 15 ngày có giấy mới đổi. Trong khi chính sách ghi đổi ngay và luôn nhưng yêu cầu có giấy thẩm định. Trong khi biết có giấy thẩm định phải đợi bên hãng nhưng vẫn ghi câu hư gì đổi nấy ngay và luôn. Lừa . Lần cuối mua hàng",1,1
Tam,Lỗi panic và reset mọi người nên cẩn thận khâu bảo hành đợi lâu đấy,1,1
Xuân Tự,"máy mua 28/9/2024,xài tương đối ổn,chỉ mỗi lỗi nhỏ cảm ứng không nhạy...khi vào ứng dụng nhấn vào các mục cứ đơ đơ,nên làm gì để khắc phục hay đổi máy mới TGDD cho ý kiến...cám ơn",3,1
Lai Tien Dat,ok,5,1
Trần Thanh Hà,Cảm ứng thì đơ. Kêu lỗi 1 đổi 1 trong 1 tháng.giờ lỗi kêu đi bảo hành. Bắt đổi thì kêu chưa có máy đổi.,2,1
Ha Van Binh,Rết tệ máy bị panicfull và res mnhf dùng để ý cứ 16 h chiêu hôm trước thì đúng 16h chiều hôm sau máy ko dùng tự tắt nguồn rồi khởi động lại lúc máy để ko còn đang dùng thì ko bị. Buồn thật,1,1
Minh,Sản phẩm lỗi lên lỗi xuốngChăm sóc khác hàng thì vớ vẩn lòng vòng cả 1 hệ thống bán hàng giả hàng kém chấ lượng lừa đảo có tổ chức,1,1
Ra,"Lướt top top thấy lỗi ở phần phân tích cải tiến cũng hơi hoang mang, nhưng xài 1 thời gian cảm thấy tất cả đều ổn, pin cầm máy mượt... Không có vấn đề gì cả, hy vọng bảng cập nhật mới sẽ ổn hơn nữa để mn yên tâm.",5,1
Nguyen Dang,đã gủi bảo hành mà chưa biết kết quả năm naymay lỗi nhiều quá,5,1
Võ Việt Hưng,Mới đúng 3 ngày bị dính panic full và reset counter,2,1
Nguyễn Thị Thu Oanh,Mua 3/10 và 4/10 nó hiện lỗi panic full và resetconunter là sao ạ,3,1
Thái,"Nghe loa ko hay lắm và không vào phần tình trạng pin để xem đc,lỗi này ko biết đc đổi máy hay phải gửi đi bh đây",3,1
Long,dùng ok pin trâu chưa thấy lỗi gì,5,1
Duong,Ko xem đc tình trạng pin,3,1
Phạm Quốc Việt,Máy mình ip16 pro hôm trước gửi đi bảo hành hãng 1 lần rồi. Hôm nay về dùng vẫn bị dính lỗi Panic Full. Có đc đổi máy khác ko shop.,2,2
TM Nguyễn Chí Lịnh,"Chán thật, 1 ngày tự reset mấy lần",1,2
TRIEU TRUNG TRUC,lỗi panic full reset couter đút túi quần tự mở ngồn chịu đổi máy ms cũng z,1,2
Sỉ,"Mới mua 12/10 tới nay mà nó khởi động lại 7 lần rồi, đổi máy mới được k ạ",1,2
Lương Thành Cương,Máy bị Panic full vs Reset counter,2,2
Xuân,mới mua chua sài được gì mà một ngày tự khỡi động lại 4 lần đã cập nhật ios mới nhất rồi vẫn bị thật sự thật vọng khi mua iphone 16 pro này đánh giá 1sao,1,2
Thượng,mới mua bị dính rồi,4,2
Ho Vui,Điện thoại mới mua đã lỗi cảm biến không tự động tăng giảm ánh sáng màn hình thì đơ vuốt lúc đi lúc đứng nhấn không ăn thoát ra vào ấn thì được đã báo cskh kêu đem ra cửa hàng kiểm tra nếu lỗi sẽ gửi hãng thẩm định lỗi thời gian chờ 715 ngày vừa tốn tiền vừa mất thời gian rồi điện thoai đâu mà dùng. Quá thất vọng ở lần mua này,1,2
Minh Dũng,Sau khi phản ánh loa trong rè thì bên cskh đưa ra lựa chọn là khách hàng chỉ được chọn gửi về hãng mất 15 hoặc sử dụng máy lỗi. Và chắc chắn tôi ko giới thiệu cho bạn bè,1,2
Nguyễn Văn Sang,May OK khi để iOS18 sai ko lắm không hao pin lên 18.0.1 thi pin hoi tuộc nha nhưng cung hong dân ke,4,2
Cuong,Tôi cũng có tính trạng máy bị reset counter cho ip 16pro . Kn biết có chính sách đổi trả kn . Máy mới như vậy thất vọng quá,3,2
Thành,,5,2
Trần Minh Hoàng,Ngoại trừ apple intelligence chưa hỗ trợ tiếng Việt thì còn lại chưa có gì để chê. Đáng từng xu.,5,3
Nguyễn Phi,"Mới 26 ngày tắt nguồn 67L ra siêu thị bảo gửi hãng không giải quyết , vậy là chính sách đổi trả bên TGDĐ ok chưa Lịch sử máy dính resecumter panic full rành rành",1,3
Nguyễn Quyến,Máy sử dụng camera chừng 3 phút là nóng ran Mua đúng 1 ngày bị lỗi. Nhân viên DMX xác nhận lỗi nhưng không cho trả máy mà hẹn 1 ngày sau mới đổi máy. Quá chán với trải nghiệm này nên đã phải trả lại và mất 20% phí. Vậy là mất hết 4.5 triệu và vài trăm ngàn tiền miếng dán chính hãng nữa Gần 5tr cho 24 giờ sử dụng Iphone 16 Thật là 1 trải nghiệm đắt giá Khuyên các bạn tìm hiểu kỹ chính sách đổi trả cũng như kiểm tra độ nóng của máy khi sử dụng camera trước khi mua. Con nào cũng rất nóng nhưng con mình mua thì nóng hơn,1,3
Nguyễn Khánh Duy,Máy mới sử dụng được vài tháng mà mắc lỗi panicfull Giờ không biết phải làm sao Rất mong được phản hồi từ tgdd,3,4
Đăng Tích,"Mua về hôm trước hôm sau phát hiện bụi vào camera, liên hệ cửa hàng và khiếu nại đề nghị đổi 1 đổi 1 do lỗi NSX trong tháng đầuquản lý cửa hàng và cskh gọi đến nói đó k phải lỗi của NSX nên k đổi, bắt gửi đi bảo hành ủa máy chính hãng, có bụi vào camera k phải lỗi do NSX thì là do lỗi của KH để lọt bụi vào à",1,4
Đăng,Tgdd làm ăn kiểu trẻ con làm ăn kiểu vớ vẩn,1,4
Diễm My,"Mình mua 15 pro max nay được 16 ngày mà mỗi lần sạc pin là máy nóng, qua đêm không sử dụng sáng mở lên bị tuột 5% pin. Cần hỗ trợ",3,4
Hoàng,"Bên mình có thu lại máy không ạ Mình đang có nhu cầu lên 16 promax, máy mình mới mua hôm 23/10 tại tgdd",5,4
