reviewer_name,review_content,review_point,product_id
C Hien,Giao ko có dây xạc. Bây giờ lấy cái đéo gì để xạc.Làm ăn uy tín chứ. Đã giao hàng tận nhà lâu nay ko có xạc.,1,1
Phước,Mang tiếng kính cường lực mà trầy.. Sinh ra lỗi màn hình lúc có lúc ko Bh báo giá 1tr500k vãi..Cười hết nc mắt vs hãng,1,1
Chu Phượng,Mới mua đc tầm nửa tháng. K cài được thời tiết. K cập nhật đc chu kì kinh. Chê. Bên mk có thu lại k vậy,2,1
NGUYỄN XUÂN LÀNH,"Tôi mới mua 2 ngày, đồng hồ nó hay bị lỗi mất kết nối. Tôi muốn đổi lại máy khác",4,1
Quyền,Ổn nhưng mua tặng bố màu bạc ko thích lắm. TGDD có hỗ trợ đổi trả spham ko,3,1
Đặng Từ,"Sản phẩm dùng bước đầu ổn, tuy nhiên pin không như thông báo!",3,1
Ngô Linh,không hỗ trợ kết nối đc với iphone ko kết nối đc oppp,1,1
Ngọc,Bảo hành ở đâu vậy ad,3,1
Long,"mình đã mua sp này 1 lần, sản phẩm thì tạm ổn với tầm giá. do rất hài lòng với dịch vụ cskh của thegioididong nên tiếp tục mua thêm 1 lần nữa để tặng người thân. nhưng hôm nay hàng ship về tới mình có tình trạng hộp bị bóc nhoe nhoét cả trên cả dưới thế này thì k biết tặng thế nào. lần mua trước thì vẫn nguyên seal cả hộp không rõ có thể đổi trả không vì mình vẫn chưa hề sd sản phẩm.",4,1
Nguyễn Xuân Thủy,Đồng hồ dùng tốt. Pin lâu khoảng 10 ngày. Đánh giá đây là sản phẩm tốt. Nhưng bé so với cổ tay của mình 17cm. Bên TGDĐ có thu mua lại sản phẩm này không ạ. Mình mua từ ngày 20/05/2024,4,1
Hưng,Hãng công bố pin 13 ngày nhưng chỉ được 3 ngày. Có cách nào để nâng thời lượng pin trong khi sử dụng k TGDD Trong sách hướng dẫn k thấy nội dung này,3,1
Thảo,Tạm ổn pin mau hết so với qc ko thể sạc đầy từ lúc mua về cứ sạc đến 95% hoặc 97% là tự ngắt,3,1
Huy,Sản phẩm xài rất tốt nhé,5,1
Nguyen Trung Thanh,Mình thấy khá tốt. Giá cũng rẻ,5,1
Huy,sản phẩm xài rất tốt,5,1
Cường,Thôi tin của đồng hồ là pin dùng 13 ngày mà sao mình dùng có 3 ngày đã hết pin vậy. Chán thật,3,1
Thao,Ok,5,1
Nhân,Pin tệ,2,1
Phạm Minh Tài,Tốt,5,1
Tiến Thành,"Đếm sai bước chân, tự động nhận diện luyện tập hoạt động chập chờn không ổn định, nhịp tim đo cũng ko chính xác. Thỉnh thoảng đang nằm nó nhảy lên mấy nghìn bước.",2,1
Nguyễn Nguyệt Thanh,"Mua cho mẹ . Mẹ rất thích. Pin xài lâu. Đếm bước chân hàng ngày, đo nhịp tim chính xác. Người lớn tuổi nên mua",5,1
Vũ Thị Huế,Dùng chưa đc 1 tháng nhg bị lỗi chế độ Always On Display. Màn hình ko sáng nữa rồi. Pin cũng chỉ dùng đc khoảng 2 3 ngày thôi,3,1
Nguyễn Thị Hoa,"Mua dùng đc 7 ngày, pin còn 30%, các tính năng ok khi ko kết nối với đt, đi bơi lội ko bị vô nước.",5,1
Phạm Hữu Dũng,"Khá đẹp, các chỉ số đo khá chi tiết, nhất là đo giấc ngủ",5,1
Vo Van Hai,"Pin dùng rất lâu, rất thích",5,1
Thanh,Cứ sử dụng tầm 23 ngày bị lỗi đồng bộ số bước chân,2,1
Hàng Nguyên Huy,Phần mềm Galaxy Fit3 Plugin dùng để đồng bộ với điện thoại hay bị lỗi nên thường xuyên không đồng bộ được số bước trên Galaxy fit3 với app Samsung Health trên điện thoại. Re-install lại thì sử dụng ok 1 thời gian lại tiếp tục bị lỗi này.,2,1
Việt Anh,Tôi mua fit 3 dc nửa tháng đang có hiện tượng loan cảm ứng và đơ màn hình 1 ngày sảy ra vài lần. Muốn tìm hiểu chế độ bảo hành,4,1
Tô Hoàng Phúc,Săn được giá 990.000Mình thấy sản phẩm rất tốt ngoại trừ pin chỉ được tầm 3 ngày. Đếm số bước chân đồng bộ từ điện thoại lên nên bị sai số. Mong được chỉ cách khắc phục. Còn lại mọi thứ đều ổn,5,1
Nguyenthithanglkgmail.Com,"Đo sai bước chân ,đánh giá giấc ngủ ko đúng. Ra tiệm chỉnh lại một lần được vài ngày lại sai tiếp.",2,1
Chú Long,Tốt,4,1
Vo Van Hai,Máy dùng rất tốt pin sieu trâu 15 ngay mới hết con 5 %,5,1
Cang,Ok,5,1
Lê Hoàng Châu,sản phẩm tốt so với tầm giá,4,1
Hạnh,Bên mình thu mua lại đồng hồ được giá nhiêu vậy Mua chưa được 1 tháng nhưng thấy sử dụng chán quá,5,1
Vũ Mai Nữ,Pin sử dụng chưa dc 3 ngày,3,1
Đỗ Văn Nguyện,"Màn hình động cái xước , pin dùng dc 6 ngày hết k như hãng đề ra",2,1
Bùi Long,Ứng dụng sức khỏe đo sai nhiều,2,1
Bùi Nguyễn Trung Hiếu,"Không nổi trội mấy thậm chí thua so với Smartband khác. Pin yếu, 4 ngày hết pin, có bật tự đo nhịp tim cả ngày, không AOD. Viền không cân đối do dày rõ ràng ở viền dưới nên khi cài theme full màn hình thì cảm quan rất tệ. Bluetooth tầm kém so cả Mi band 8 giá rẻ hơn Giới hạn tính năng cho máy android khác trừ Samsung. Mặt đồng hồ theme tuy không nhiều+ theme không đẹp, theme đẹp full màn lại lộ cái viền dày mà chán. Đo SPo2 chậm, khó khăn. Đúng là bản nâng cấp lớn của Galaxy Fit nhưng so với hãng khác thì còn kém hấp dẫn.",3,1
Điền Anh Tuấn,"Mua được hơn 2 tuần.Các tính năng đúng như quảng cáo,riêng pin thì chỉ được khoảng 6 đến 7 ngày chứ không được 13 ngày dù sử dụng bình thường và không để chế độ alway on display và sạc từ khoảng còn 15% thì chỉ dừng ở 99% không khi nào đủ 100%.",3,1
Nguyễn Trung Ngôn,Đo khoảng cách đường chạy không chính xác,3,1
Nguyễn Tuân,"Pin chỉ 3 ngày thôi, đã sử dụng 2 cái đều giống nhau.",2,1
An,"Pin chỉ được 3 ngày, hãng công bố 13 ngày",3,1
Nguyễn Thanh Ngân,"Chức năng ổn, màn hình mượt, đẹp, giao diện thân thiện. Pin kém, 4 ngày là cạn",4,1
Phạm Thúy Hằng,"Pin 7 ngày, đồng hồ đẹp, k nhận báo cuộc gọi messger, zalo . K nghe cuộc gọi thoại đc còn lại ok",5,1
Võ Thị Nguyên,Pin chỉ dùng được 7 ngày thôi,3,1
Nguyễn Văn Trường Anh,"Dùng 1 tuần rồi thấy ổn, nhưng vãn không biết cái lỗ kế bên phím vật lý kia để làm gì",5,1
Võ Hoàng Khải,Tốt,5,1
Nguyễn Thanh Huy,Sp rất tốt,5,1
Nguyễn Khánh Phương,"Mọi chức năng sử dụng đều giống trên quảng cáo,phù hợp cho phụ nữ",5,1
Nguyen Linh,"Tính số bước đi rất kỳ cục, tôi vừa ngủ dậy đi quanh nhà xíu thôi mà nó tính 600 bước, mà nhà có rộng lắm đâu.",3,1
Lê Ngọc Quốc,"Cũg ổn, nhưg k báo gọi mes và zalo",4,1
Nguyễn An Tuấn,Ok,5,1
Nguyễn,,5,1
Ngọc Hà,,5,1
Nguyễn Mai Tuấn Dũng,,4,1
Huỳnh Nhựt Tân,,5,1
Minh Thuận,,5,1
Ngọc Tú,,4,1
Tuyền,,4,1
Phạm Văn Hưng,"Máy ko có chống nước, mịa đeo được tuần huấn luyện diễn tập mộ hôi ra nhiều chứ nào được rửa nước, chết đang đi diễn tập ko đem bảo hành được, giờ mang ra báo lỗi ẩm hấp hơi, ko đủ điều kiện bảo hành, đánh giá 1 sao thì xoá, mua lấy máy ra thì đã bị bóc hộp cầm hộp không, xong ko thấy máy mới chạy đi lấy, trải nghiêmg dở tệ,",1,2
Trần Văn Khánh,"Tôi mua máy từ 11/09/2024, hiện tại muốn lên đời máy khác thì hệ thống có chương trình mua lại máy cũ không vậy, và giá như nào",4,2
Mai,Quét mã cứ báo bật Bluetooth trước trông khi đó là kết nối Bluetooth rồi,3,2
Trần Đăng Khoa,Quá tốt,5,2
Trang,Dùng tốt. Nhưng mình có thể đổi máy được k ạCó điều hoàn cảnh mình k cho dùng dc. Mình cần pass lại. Ai cần lh mình 0399..808774,4,2
Lường Văn Thức,Tạm ổn,3,2
Bs Cường,Nên mua. Mình rất hài lòng,5,2
Ducthinhckbk,"Trải nghiệm 1 ngày sử dụng khá ok, màn hình sáng rõ, nhiều chức năng, đo nhịp tim, SPO2 ok, quãng đường đo được khi chạy khá chính xác, cảm ứng mượt mà, không lỗi phông. Nói chung là chim ưng. Sẽ gửi thêm đánh giá sau 1 tháng sử dụng",5,2
Hà Hoàng Đạt,Good. Dùng rất thích. Sẽ mua cho vợ,5,2
Kiện,"Mức giá này mà có cả GPS độc lập + bảo hành chính hãng thì múc ngay chứ gì nữa. Cá nhân hay chạy bộ, đạp xe, bơi thì ko cần phải cầm theo điện thọai cồng kềnh nữa. Số liệu GPS thì mình đã test nhiều vòng khá phổ biết với anh em runner rồi khá chuẩn, lệch chỉ vài mét, ko đáng kể. Nên mua nhé ae.",5,2
Nguyễn Thị Mai Chi,Ko nhận đc thông báo mặc dù đã tải ứng dụng và cấp quyền tất cả,4,2
Ha,"Pin lâu, ứng dụng tốt",5,2
Nguyễn Thụy Diễm Trang,Cho mình hỏi dòng này có thông báo cuộc gọi zalo đến k ạ,4,2
La Phương Trang,Màn hình bị chia làm 2 có phải bị lỗi ko,3,2
Thao,Ok,5,2
Cắt,Xài tốt,4,2
Luong Khanh Duy,Thank you,5,2
Trần Việt,"Mượt mà, pin lâu, có gps độc lập",4,2
Cường,Sản phẩm rất tốt,5,2
Trần Phi Hùng,Ok nha mn sài ok hơn band 7 pro với band 8 active,5,2
Hải,,5,2
Anh Việt,,4,2
Cao Minh Hậu,,5,2
NÔNG NGỌC THÀNH,,4,2
Phạm Hữu Huấn,,5,2
Nguyễn Phúc Khang,,4,2
Nguyễn Tuấn Vũ,,5,2
Thức,,5,2
Trần Trung Phú.,,5,2
Linh,,5,2
Phan Xuân Tài,,5,2
Nguyễn Nam Huy,,4,2
Vũ Văn Thắng,,5,2
Thùy Dương,Có thay dây ko ạ,5,6
Hiếu,Sao đồng hồ này của mình bị vô nước.,5,6
Thuỷ,Tốt nhé,5,6
Trần Thế Thạnh,Ok,4,6
