reviewer_name,review_content,review_point,product_id
Thuý,"Mình mua từ Tết nay mới rw cho mọi ng , nên mua nha lọc không khí và hút ẩm cực kì thích , êm ái k gây tiếng ồn",5,1
Tuấn,🫰,5,1
Nguyễn Tuấn Ưu,"Máy hút ẩm EDH12TRBD2 hoạt động êm ái, chất lượng không khí được cải thiện rõ rệt.",5,1
Chị Hoài,SP sử dụng OK,5,2
Chú Minh,SP sử dụng OK,5,2
Chú Hà,Máy hoạt động rất tốt hiệu quả. Mình QĐ mua máy hút ẩm thật chính xác đã giải quyết rất tốt trong môi trường độ ẩm cao như vừa qua. Xin cảm ơn ĐMXanh nhé,5,2
CÔNG TY TNHH DƯỢC LIỆU HÀ NỘI GMP,Ổn,4,2
Nghĩa,,4,2
Chị Yên,,4,2
Trịnh Thanh Quang,Rất oke,5,3
Thảo,Bán xong thu tiền lúc mua thì nói cho kỹ thuật xuống hồ trợ hướng dẫn sử dụng. Khi thanh toán xong nhắn cho người xuống hướng dẫn thì nói sản phẩm này không có được hướng dẫn cách sử dụng,1,3
Nguyễn Hữu Hiển,Máy hoạt động tốt,5,3
Chú Phú,"Máy chạy êm, hiệu quả",5,3
Cường,"Sản phẩm tốt, chạy ổn định, mẫu mã đẹp",5,3
Anh Thanh,Rất ok,4,3
Chú Hòa,,5,3
Anh Cường,,3,3
Cô Chi,giao nhanh,4,4
Phạm Thị Giang,Sản phẩm tốt,4,4
Chị Yến,Máy rất ok,5,4
Linh,tốt.,5,4
Đinh Thị Hạnh,Sản phẩm tốt,4,4
C Dung,Đẹp tốt,5,4
Anh Quân,,4,4
Chú Phước,,5,5
Thùy,,5,5
Nguyễn Quang Sinh,Máy mới mua giờ không lên nguồn có thời gian rảnh đâu mà mang đi bảo hành đúng là mua online thiệt,1,6
Nguyễn Đức Nhã,Sản phẩm tốt chạy êm!,5,6
Nguyễn Hoài Nam,,4,6
Trần Thị Hoa,"Sản phầm dùng ổn, không quá ồn",5,7
Hà,"Máy hút ẩm tốt, bật tầm 2 tiếng đặt trong phòng có độ ẩm hơn 80% là hút được tầm hơn 1 lít nước rồi. Từ hồi dùng máy thấy nhà cửa đỡ nồm ẩm hẳn",5,7
Trần Quang Vũ,"Độ ẩm trong phòng được kiểm soát khá hiệu quả. Mùa mưa ẩm chưa đến nên chưa biết sẽ thế nào! Tuy nhiên, thấy lượng nước hút được cũng yên tâm",4,7
Bùi Đình Dũng,"Hút ẩm nhanh, mạnh",4,7
Trúc Linh,Dùng oke,4,7
Nguyễn Vân,"Máy dùng ổn, độ ồn thấp và hút ẩm tốt",5,7
Lê Hồng Quang,Máy chạy êm đảm bảo độ ẩm phòng,5,7
Cô Chi,Máy rất ok,5,7
Anh Tâm,,5,7
