reviewer_name,review_content,review_point,product_id
Thi,Dùng 3 tháng bị lổi lồng trong máy k quay,3.0,1
Nguyễn Văn Thống,Tạm ổn nhưng khá ồn,3.0,1
Phạm Công Phát,Máy sấy xong quần áo bị các vệt dơ dài khoảng 2 cm,1.0,1
Tô Thị Thanh Huyền,Máy sử dụng tốt,4.0,1
Anh Thiêm,Sản phẩm tốt,5.0,1
Nguyễn Thị Hồng Thắm,Hàng ok nhé,5.0,1
Thu Hồng,Sp tốt nhân viên chu đáo tận tình,5.0,1
Nguyễn Hồng Sinh,Thiếu chế độ tự off khi sấy xong,3.0,1
Chú Thành,"Tốt! Hơi ồn, thời gian sấy khô bình thường gần 4h",4.0,1
Lê Tuấn Huy,Tốt,5.0,1
Quang,Tốt,5.0,1
Hoàng,Sp tôt,5.0,1
Chị Thủy,Tạm được,3.0,1
CTY TNHH THƯƠNG MẠI DỊCH VỤ THÀNH ĐẠT BẠC LIÊU,Tệ,1.0,1
Đức,Máy giá rẻ dùng tốt nữa. Rất đáng mua............................................,5.0,1
Anh Lê Thanh,,5.0,1
Tùng,,5.0,1
Trương Thế Dương,,5.0,1
Lê Công Hoài Nam,,5.0,1
Anh Minh,Sấy để chế độ khử khuẩn Anti bạc sấy xong có mùi khét cháy .,2.0,2
Tú,Dùng ổn,5.0,2
Hường,"Ưng lắm mn ạ, giao hàng nhanh, sấy khô, lọc sơ vải tốt nha mn",5.0,2
Chị Bông,Dùng ok lắm ạ,5.0,2
Ngoc Ngo,ok.,5.0,2
Đỗ Lợi,Nhà mình xài Electrolux quen rồi nay xài thử hiệu này mới cũng hơi phiêu nhưng mà thấy sấy ổn. 60 phút thì không ăn thua đâu nên đồ ít hay nhiều mình cũng để 90 phút. Sấy kém hơn Electrolux chất liệu lồng sấy cũng không phải inox như Electrolux nhưng mà sấy xong đồ khô ráo phẳng sạch lông không bị co rút vì quá nhiệt. Bền thì phải đợi thời gian nhưng nói chung tầm giá này mình hài lòng. Nên mua nhé mọi người.,4.0,2
Lê Bích Ngọc,Mua máy xong hẹn giờ ko hẹn được máy thì sấy 2h30 phút thì đúng 1 tiếng là xong ẩm ko bằng nổi sấy bằng tủ sấy nữa luôn gọi bảo hành xuống kiểm tra đc 1 lần xong không phản hồi nữa bảo hãng xuống chưa thấy ma nào xuống luôn ko hiểu làm ăn kiểu gì sắp đc 1 tháng ko đc thì cho đổi hoặc trả lại đằng này vất không kh. 1 sao chứ có 0 sao cũng cho 0 sao. Quá tệ,1.0,2
Phuong,"Xài rất chán, sấy 1 tiếng rưỡi mà cũng ko khô hết được. Sấy 30p là thôi rồi như chưa từng sấy luôn. Ko nên mua đâu ạ. Rất muốn trả hàng…",2.0,2
Nhung,Sản phẩm tốt,5.0,2
Ha,"Rất tốt, rất tiện lợi, nên mua",5.0,2
Vũ Hương,May dùng tốt nhé còn độ bền thì 1 thời gian nữa mới biết.,5.0,2
Phước Trường,Có thêm khuyến mãi sẽ tốt hơn,5.0,2
