reviewer_name,review_content,review_point,product_id
Long,Mua hồi 14/2/2024 h tgdd thu lại tầm bn ạ. Chỉ còn máy với sạc,5,1
Sùng A Dũng,Bắt wf kém quá bị hụt quá,2,1
QQ,"Thế giới di động làm ăn thất đức, mua iPad 9 về xài được mấy bữa bị tụt pin sạc đầy 100% pin để qua đêm còn 80% , mới mua được nửa tháng đem ra cửa hàng kêu không có lỗi xong nâng cấp phần mềm lên , đem về lại vẫn bị tụt pin , xong đem ra gửi hãng bảo hành rồi hãng nói không bị gì hết , đem về lại bị lại , làm ăn thất đức quá sớm phá sản nhé .",1,1
Nguyễn Quân,Mới mua con ipad gen 9 khoảng 1 tháng mình muốn trả lại được không add,5,1
Toàn,Cho em hỏi iPad gen 9 hiện tại có live mượt được game liên quân trên TikTok ko ạ....,3,1
Loan,Dùng ổn.chụp hình ko đẹp.,4,1
Nguyễn Thị Thu Thủy,Tôi muốn bán lại và mua 1 máy khác mạnh hoen được không,1,1
NGUYỄN VĂN THẢO,Rất tốt,5,1
Nguyễn Thanh Bình,Sài ok cho nhu cầu cơ bản,4,1
Vĩnh Phát,Rất hợp lý trong tầm giá,5,1
Nguyễn Nhã Tú,Máy tốt nha. Phù hợp túi tiền nếu chỉ có nhu cầu học tập. Đối với mình mua chỉ để dễ dàng học tiếng thì rất ưng nhé,5,1
Hường,Ok,4,1
Nguyễn Trọng Vĩnh Sang,Hàng chính hãng mới 100/100,5,1
Nhựt Thanh,mình muốn bán máy còn lai bao nhiêu. sdt xxxx398339,3,1
Anh Tiệp,Máy ở mức ổn .Màn hình nhìn không bị đau mắt. Máy dùng vẫn có tình trạng đơ cảm ứng bật tắt lại thì hết. Ai mua Máy dùng cho nhu cầu giải trí cơ bản thì nên mua còn công việc thì mua bản cao hơn,4,1
Anh Vân,Mình muốn lên đời iPhone 12 thì bù bao nhiêu ạ,3,1
Trịnh Thị Duyên,Dùng tốt,5,1
Trịnh Văn Cường,M mới mua con gen 9 dc nửa tháng và muốn lên đời . Thì m có thể trả lại con gen 9 và lên đời dc ko ạ,4,1
Nguyễn Thị Bé Nhỏ,Tốt,5,1
Trung,Đã là ipad wiffi mà bắt wiffi quá kém,1,1
Đồng Võ,tôi muỗn mua bút thì siêu thị điện máy có bán không,4,5
BÙI HIỆU,,5,5
Trần Công Cảnh,"Update lên hyper os mới nhất dùng rất tốt, pin tốt, mát máy, mượt không lag, loa to, coi phim rất tốt. Tôi cho 5 sao, sản phẩm rất tốt trong tầm giá",5,7
Phan Bình Nguyên,Với giá tiền này thì cũng ok rồi lâu lâu lag tí nhưng k sao.ổn nha,5,7
Trang,"Máy dùng để giải trí xem phim, nghệ nhạc, học ngoại ngữ rất ổn. Giá rẻ nhưng chạy khá mượt. Nói chung với tầm giá đấy thì ko có gì để chê.",5,7
Trần Thị Huỳnh,"Đã dùng 1 tháng, máy chạy êm, màn hình nét, giá ổn, m.n có nhu cầu thì có thể tham khảo ạ",5,8
Tín,Mình mua hôm tháng 2/2024 đang sử dụng nó bị mất màu,1,8
Thạch Thái,Máy tung ra bán mà lúc đem đi bảo hành đợi cả tháng vẫn chưa có linh kiện để thay,2,8
Lê Thanh Nhàn,"Nghe nhạc hay có đều lo hơi nhỏ tí , màng hình đẹp , lướt rất mượt",5,8
Nguyễn Mạnh,Mua đc mấy hôm báo lỗi,1,8
Trí,Tot lắm,4,8
Chị Tuyết Nhi,sản phẩm có chất lượng hợp với giá tiền,4,8
Duong Nguyễn,b,5,8
Bùi Minh Tường,Thấy dùng ok,4,8
Đoàn Thị Bảo Châu,"Sản phẩm được, cấu hình của màn hình nhìn mờ, mới dùng mà cũng hơi đơ",3,8
Đào Giang,"Tốt so với giáMáy khá nhanh, ít bị đơ. Nên mua",5,8
Võ Minh Tâm,,2,8
Việt Anh,,5,8
Anh Sáu,,4,8
Nguyễn Văn Khá,,4,8
Dũng,"Sản phẩm ổn, màn hình to , loa to , pin trâu mua về để giải trí thôi . Máy này còn được tặng kèm phụ kiện như miếng dán màn hình và bao da trong hộp nên rất okey",5,9
Lê Hùng Lâm,Sản phẩm ok trong tầm giá màn đẹp pin trâu loa to cấu hình vừa phải chơi game nhẹ hậu mãi tốt,5,9
Đặng Khánh Duy,"Đã đổi máy 3 lần, lần 1 hư màn hình, lần 2 pin hao nhanh, lần 3 pin vẫn hao nhanh tắt nguồn cũng háo pin là sao z",1,9
Dương,"quá là ngon luôn wifi ổn định xem phim lướt wed mượt mà hình ảnh sắc nét,loa nge to + hay,pin trâu để qua đêm từ 9h tối đến 9h sáng hum sau chỉ tụt có 2% pin,gọi video zalo ổn áp.Ẻm đã k làm mình thất vọng",4,9
Anh Tín,Quá OK số với giá tiền OK,5,9
Nhi,Quá ổn trong tầm giá. Vì mình có điện thoại và laptop rồi nên chỉ mua để học và giải trí nên không yêu cầu nhiều về cấu hình chỉ cần có màn hình to là được. Máy này còn được tặng kèm miếng dán màn hình và bao da trong hộp nên rất ưng.,5,9
Lê Sơn,Xài ok,5,9
Chị Thủy,"Lúc đầu mình cũng hơi lo khi mua máy này. Coi review trên Youtube và nhân viên cửa hàng nói chơi game hơi lag. Cơ mà sau khi mua và sử dụng được vài tuần mình có cảm nhận Hiển thị màu sắc máy cực rõ nét, đẹp lắm luôn.Âm thanh rất to.Cảm ứng rất mượt.Về sử dụng ứng dụng và các game vừa thì rất trơn tru ko có gì để nói. Có một số game nặng như thiên dụ, play together chơi cũng rất mượt, ko hề giật lag.Ngoài ra máy còn dùng đc cả tai nghe cổng typec. Kết nối bàn phím chuột trông như laptop mini. Ưng quá ko biết nói gì luôn. Các bạn nhân viên thì dễ thương, nhiệt tình. Túm lại là mình rất hài lòng và an tâm khi mua hàng ở đây",5,9
NGO THANH BE HAI,,5,9
Lệ Uyên,,5,9
Nguyễn Ngọc Gia Chấn,,5,9
Sáng,,5,9
Trần Lư Phúc Mãn,,5,9
Dat,"Bán hàng không seal, yêu cầu thu hồi máy",1,10
Linh,"Dùng tốt, máy mượt, nhanh, ko bị lag khựng, màn hình đẹp",5,10
Chị Hân,Chị thấy xài rất ổn em nhé.,4,10
Lê Văn Tuấn,"Thời gian đầu thấy máy oke, máy chạy mượt bắt wifi khoẻ pin trâu.",5,10
Hoàng Phương,"Tốt , nhanh",5,10
Chị Phương,Mới xài thấy ổn áp nha . Về lâu dài mới bjt,5,10
Anh Tú,Ok,5,10
PHẠM VĂN CHUNG,SẢN PHẨM OkE,5,10
Phi,Dùng rất OK,5,10
Trần Tiến Anh,Ram 4g nhưng trống có 500mb lag từng máy,1,10
CAO THỊ THU HƯƠNG,Chơi game sử dụng 2 ngón tay bị đơ cảm ứng,2,10
DUONG MANH CUONG,Mua chơi game mà dùng 2 ngón là đơ cảm ứng,1,10
ĐÀO HÀ QUANG SƠN,Game thỳ ấn nút killl thỳ văng điều hướng. Galaxy themes cũng không sài đc. Lh nói do game chiệu,1,10
Nguyễn Thị Cẩm Duyên,,5,10
Trần Đức,,5,10
Trịnh Hiếu Thuỷ Tiên,,5,10
HUỲNH HỒNG NGHI,,5,10
Vương Quang Lộc,,5,10
Nguyễn Văn Thọ,,5,10
Nguyễn Hữu Trí,Mới vừa mua. Rất hài lòng với sản phẩm.,5,11
Mai,may loi nhieu doi lan thu 3 van bi tat nguon len tat nguoi mau bi dom hong hong,1,11
Chị Trâm,Mình mới mua đc 3 ngày nhưng không muốn sử dụng nữa thì TGDD có thu mua lại không. Thì mất bao nhiêu %,5,11
Xuân Tùng,"Rất hài lòng, vừa túi tiền, chơi game cũng OK",5,11
Trần Minh Thành,"Dùng ok, không bị lỗi gì trộm vía, nhưng sạc hơi lâu mặc dù đã bật sạc nhanh",4,13
Nguyễn Trung,"Xài mượt, pin trâu, sạc nhanh, bút s pen nhạy, nói chung là oki",5,13
Trọng,"Mình mua được 1 tuần hơn, nói chung là quá mượt mà, mọi tác vụ đều rất tốt, xứng đáng 10đ",5,13
Thu Huyền,"Sử dụng mượt, xem anime, đọc truyện tranh đã con mắt hơn so với xem bằng điện thoại, đỡ mất nhiều thời gian như khởi động lap, đặc biệt âm thanh loa ngoài nghe hay hơn các thiết bị điện tử khác mình có...",5,13
Anh Hiếu,,4,13
Xuân Phượng,,5,13
Liên,,5,13
Le Quan Hieu,Toi vua mua pad pro hang da su dung hom qua ngay 30 thang 10 ve su dung thay thoi luong pin xem youtube lien tuc voi do sag man hinh cao nhat tu 100% xuong 15% chi duoc 4 den 5 tieng so voi hang cong bo 12 tieng den 15 tieng .vay san pham co bi loi khong mong co ng ho tro qua so dt a,4,14
Tuấn,"Có cách nào để nhấn đúp tắt màn hình, không cầm bấm phím không ạ",5,14
Lê Tuấn,"Máy sử dụng rất tốt, mạnh, nv hỗ trợ rất nhiệt tình",5,14
Nguyễn Thông,Dùng tốt mấy acj hỗ trợ nhiệt tình,5,14
Anhdat,Máy mới có dán màn hình sẵn không shop,4,14
A Quốc,Rất tốt,5,14
Nguyễn Thùy Linh,"Máy dùng khá tốt, cảm ứng nhạy, giá rẻ",5,14
Mai Bá Nhựt,Ổn trong tầm giá.,5,14
NGUYỄN VĂN HUẤN,RẤT HÀI LÒNG.,5,14
BÙI XUÂN HẢI,"Nhu cầu xài bình thường khá tốt trong tầm giá, pin trâu sạc ổn.",4,14
Lộc,,5,14
Lê Văn Nam,,5,14
Lê Nhả Trúc,,5,14
Phạm Chí Vỹ,phân vân giữa air5 và air6 thì mình chọn air6,5,15
Huỳnh Thanh Tâm,Tốt,5,15
Thu Thảo,,5,15
Phạm Lê Minh Quí,Tôi muốn bán lại sản phẩm có được không,5,17
Bảo Yến,chơi 1 xíu máy rất nóng. Bin tụt nhanh. Nói chung rất thất vọng,2,17
Nguyễn Thanh Nhàn,Sài ok,4,17
Nguyễn Thái Bình,"Mua về xem phim , giải trí thì được. Còn chơi Game thì tạm thôi, túm cái váy lại bỏ them 2 đến 3tr nũa mua ipad dùng ok hơn, mình dùng ipad thấy xiaomi màng 120hz mua về dùng thử đổi gió giờ hối hận quá. vẫn ko hơn ipad",3,17
Thư,"Màn to đẹp, chơi được game từ trung bình trở xuống",5,17
NGUYEN QUANG NHUT,,5,17
Nguyễn Thuy Quỳnh Như,"Máy xài mượt, hiện tại thì thấy OK . C",5,18
Chị Loan,Máy tính bảng sử dụng rất tốt,5,18
Đăng,,5,18
Bảo,Pin 10.000 nhung tuột rất nhanh,2,19
Phạm Huy Hiếu,Pin tuột rất nhanh. Sạc full sử dụng chơi game web k cần cấu hình cao mà mà 3h hết pin . nản,2,19
Thiên,Tình hoa hội tụ,5,19
