reviewer_name,review_content,review_point,product_id
Phạm Văn Dũng,Nồi rất kém nước chảy vào cơm quá nhiều k có đường thoát nước,1.0,1
An,Ko nên mua nồi cơm này. Ko có khay đựng thoát nước mặt trên cạnh nồi động nước nhiều tràn ra ngoài. Và có khi trong nồi. Ai mua nên cân nhắc,1.0,1
Hiền,"Nồi đẹp, nấu cơm ngon, rất ưng",4.0,1
Hanh,Mọi người sử dụng có bị tróc si lòng nồi k chứ sao e mới Sài vài tháng mà tróc lớp si cho dù Sài rất kĩ không dùng vật gì chùi rửa có hình mà xóa mất tiêu,3.0,1
Hiền,"Nồi đẹp, tốt, dễ sử dụng.",4.0,1
Phan Công Đức,Sử dụng ổn,5.0,1
Cường,Nồi cơm sử dụng rất ok,5.0,1
Liêng Hot Giô Ly Sall,Sài rất ok,5.0,1
Nguyễn Thanh Hung,Ok hàng đep chất lương,5.0,1
Đặng Khắc Linh,Sản phẩm rất tốt,5.0,1
VŨ VĂN DƯƠNG,Sài tốt,5.0,1
Nguyễn Cương,Rất tốt,5.0,1
Phạm Minh Thuận,nồi nhìn ngoại hình đẹp nấu cơm cũng ngon,5.0,1
My,nòi nấu cơm chính điều rất oki,5.0,1
Huỳnh Trần Tuấn Kiệt.,"nồi cơm đỉnh xuất sắc nấu cơm ngon lâu thiiu nha mọi người, lần nào cũng vậy nhân viên tư vấn tận tình phục vụ 10đ nha",5.0,1
Trần Minh Đức,ok,4.0,1
Cô THU LAN,Sài tốt ạ,5.0,1
TRẦN TRÍ THỨC,Thank,4.0,1
Nguyễn Thị Thùy Linh,"Tại sao giá bán onl rẻ hơn mua trực tiếp ở cửa hàng, vừa mua xong về nhà coi giá onl rẻ hơn",3.0,1
Văn Võ Minh Mẩn,OK nhé e,5.0,1
Cô Trung,Chị xài cảm thấy rất tốt ok,5.0,1
Lưu Thiện Vũ,"Sp dùng tốt ,",5.0,1
Nguyễn Hữu Khoa,Sp tốt,5.0,1
NGUYỄN TRUNG HIẾU,Ok,5.0,1
Phùng Thế Hùng,Mọi thứ ở mức trung bình + thực sự thì sản phẩm này so với nồi nắp gài mấy trăm cành cũng k hơn là bao.đặc biệt k có cốc đựng nước mở nắp ra nước chảy tùm lum k tiện lắm chắc mấy ông thiết kế k sử dụng nên k biết 1công dụng nhỏ nhưng rất hữu ích nv,3.0,1
Hoa Việt,Rất thích. Và hợp lý,5.0,1
Nhan Thi Thu Ly,"Lúc mua hàng, nhân viên bán hàng khẳng định KHÔNG ĐỌNG NƯớCKhi nấu thấy đọng nước, liên hệ dmx thì bên HTKT lại nói đọng nước là BÌNH THƯờNG.Tư vấn sao cũng được, miễn đi được hàng",1.0,1
Mỹ Linh,"Mở nắp cơm nước quá nhiều trên nắp, đổ xuống cơm",3.0,1
Kha,sản phẩm rất ok,5.0,1
Lê Thanh Tùng,đang sữ dụng. hiện vẩn ok,4.0,1
Mận,Rất tốt,5.0,1
Phạm Văn Linh,Dễ sử dụng,5.0,1
Chị Thu,Tốt,4.0,1
Phương Văn Phong,Sài ok,4.0,1
Mai Văn Thức,Sản phẩm này có chất lượng khá và phù hợp với giá tiền.,4.0,1
Vũ Văn Ngọc,Nồi ok nhưng ko có chỗ đựng hơi nước,3.0,1
Phạm Văn Quân,Dễ sử dụng cơm nấu dẻo,4.0,1
A Tư,Sản phẩm tốt mới dùng chức năng nấu cơm .các chưc năng khác chưa dùng .nấu cơm ngon .nên mua nhé mọi ng,5.0,1
Hoàng Anh,Nấu ổn cơm chín đều và có 1nhược điểm ứ nước nắp nồi,5.0,1
Thắm,Hiện tại sài 10 ngày nay thấy êm..hy vọng ok,5.0,1
Lê Thạc Thành,Sản phẩm hoàn thiện tệ nắp nồi quá hởcơm chín ko đều,2.0,1
Chín,Nấu cơm ngon,5.0,1
Thị Nhô,"Cơm chín đều, ngon",5.0,1
Nguyễn Văn Bình,"Nồi nấu cơm ổn, nấu cháo thì mình chưa canh được",5.0,1
Anh Vương,rất tốt,5.0,1
Chị Thủy,Nói cơm nấu cơm dính cũng quanh nồi ko dc thích lắm,3.0,1
Huy,"Nồi nấu ngon, nhưng có 1 điểm không thích vì nồi này không có chỗ chứa hơi nước thừa nên nấu cơm xong mở lên là nước chảy đầy 2 bên mép. Nếu nấu cơm mà để ít nước thì đỡ hơn nhưng cũng đều phải lấy giấy lau",4.0,1
Nguyen Kieu Trong Nghia,,4.0,1
Nguyễn Thanh Tâm,,4.0,1
Chị Thư,,5.0,1
Na Na,,4.0,1
Đặng Thái Hoà,,4.0,1
Được,,5.0,1
Thành,,5.0,1
Kl,,5.0,1
Le Nhi,,5.0,1
Nguyễn Thị Phương,,5.0,1
Sơn,,3.0,1
Anh Minh,,3.0,1
Dương,,5.0,1
Đô Thị Hằng Nga,Mới mua chua đc 1 tháng đa bong lớp chông dinh bên ngoài khá thất vọng nấu thì nghe tiếng tạch tạch trong nôi điện máy xanh đoi SP khác được không,1.0,2
Duy Hân,Sản phẩm dùng tốt!,5.0,2
Đức,"Mới mua, nấu cơm cũng được nhưng hết thời gian nấu không thấy tự chuyển sang chế độ giữ ấm, phải bấm chuyển",2.0,2
Nguyen Tuong Vi,Nấu cơm ngon .chín điều,5.0,2
Nguyễn Văn Kiên,Ok rất tốt,4.0,2
Nguyễn Vân Phương Giàu,"Nấu cơm chín đều không bị nhào dưới đích nồi , cơm không bị sống, đây là trải nghiệm thật của tôi . tôi luôn sử dụng sản phẩm của Điện Máy Xanh.",5.0,2
Ngô Thị Nhạn,Cơm ngon chín đều,5.0,2
Hồ Thanh Tuấn,Chưa đánh gia,5.0,2
Đào Văn Ngọc,Sản phẩm rất tốt,5.0,2
Dương Thanh Long,"Chế độ bảo hành rất tệ, 15 ngày mà chưa có phản hồi. Không nên mua.",2.0,2
Thúy Oanh,Nấu cơm ngon dẻo,4.0,2
Đức,"Sản phẩm tốt, nấu cơm ngon",5.0,2
Đông Các,"Nồi bị lỗi, phần giữa nồi hay bị nhão và ướt. Hổ trợ xl giúp.",3.0,2
Anh Tam,Giao hàng nhanh nồi đẹp nhưng không có quai xách khá bất tiện.,4.0,2
Hồ Kim Thi,"Đẹp, Rẻ và Nấu cơm rất ngon. Nấu gạo trắng bình thường nên chọn chế độ nấu nhanh 25phut thôi là có cơm ăn ngon rồi, ko cần nấu lâu. Nướng bánh/ nấu gạo lứt/ nấu xôi cũng rất ok luôn.",5.0,2
