reviewer_name,review_content,review_point,product_id
Thanh,Mới mua hôm qua. Hôm nay muốn đổi sản phẩm khác thì lổ bao nhiu %. Do công suất máy lớn hơn so với phòng. K phù hợp. Muốn đổi máy nhỏ hơn,4.0,1
Quang Chánh,"Quạt mát, ổn định",5.0,1
Tính,Quạt sai tốt,5.0,1
Trần Thanh Vi,Tốt lắm OK,4.0,1
Nguyễn Thị Mỹ Châu,sản phẩm sài tốt,5.0,1
Nguyễn Minh Tuấn,Quạt mát lắm,5.0,1
Hồ Hữu Quảng,Rat mat nha ca nha . Mua ok,5.0,1
Thúy Hoa,"Mức 3 ồn, phù hợp với giá thành thôi",4.0,1
Le Nguyen Thai Son,OK sai tốt,5.0,1
Tuyết Nhi,"Gió mạnh, mát. Nhược điểm là dù mát nhưng trong nhà kính sẽ hầm.nhiều hơi nước cảm giác hơi ngộp, buổi sáng hơi nước bám đầy các cửa sổ như sương mù.",5.0,1
Trương Thị Trúc Linh,Tốt,5.0,1
Phạm Văn Thật,OK,5.0,1
NGUYỄN VĂN THÀNH,"Quạt êm,rất mát",5.0,1
LÊ VĂN MẠNH,"ĐMX làm việc thiếu trách nhiệm. Gọi bảo hành quạt hơi nước rò điện, giật người dùng 3 lần ko có nhân viên ktra. Hẹn 17h ngay hom truoc. 19h ngay hom sau . hẹn 20h ngay hôm sau nữa. Quá chán nãn cách phục vụ ĐMX. Cuoi cung ko co ai ktra bao hanh zi het.",1.0,1
Chị Hồng,Tốt,4.0,1
Nguyễn Duy Thoại,Bên Đại Việt đã cho người tới nhà thay dây điện khác hôm trước mình có ý kiến bị hư phích cắm. Cảm ơn Đại Việt nhiệt tình với khách hàng.,4.0,1
Trần Văn Tú,Hàng vùng rắc rất ok,4.0,1
LƯU THỊ LỆ THI,Mát và ít ồn.,4.0,1
Võ Đăng Khoa,"Quạt nước xài tốt, để tốc độ thấp nhất không bị tiếng ồn chỉ cần châm nước 1 lần trong ngày, tốc độ cao nhất sẽ có tiếng ồn và phải châm nước nhiều lần nếu chạy suốt ngày.",5.0,1
ĐOÀN VŨ LINH,Hàng Sài quá tốt,5.0,1
Anh Vũ,Sài hoạt động tốt,5.0,1
DƯƠNG THỊ ÁNH DƯƠNG,Quạt mát.ít hao nước,4.0,1
Chị Thảo,Sử dụng tốt,5.0,1
Lê Thị Hồng Huế,Rất tốt,5.0,1
NGUYỄN THỊ HỒNG CHÂU,mọi thứ điều tốt. chỉ là khi mua hàng bạn nhân viên nói sẽ tự động tích điểm vào app cho mình. nhưng đến giờ vẫn không nhận được điểm..,4.0,1
146901 - Lê Mạnh Cường,Quạt chạy tốt. Mát nhanh.,5.0,1
HOÀNG THIÊN VŨ,Tốt,4.0,1
Phuong Thanh,"Dễ thao tác sử dụng. Tuy nhiên, khó vệ sinh.",4.0,1
HUỲNH THỊ NGỌC YẾN,"Máy quạt to, quạt mát, dạo này trời nóng nên bật nó cũng mát không đủ hết 4050m2 mà trong khoảng 15m2 thôi, sử dụng hao nước, nếu như sử dụng liên tục cả ngày phải bơm hai lần đầy bình mới đủ, hoặc hơn xíu. Thấy ổn. Dùng phòng khách không kín oke ạ.",4.0,1
Nguyễn Thị Thu,Tot,5.0,1
Quan Minh Phúc,Ok,5.0,1
Chị Phượng,Mát lạnh luôn nhưng kg bt vs thùng nước và bộ lọc ntn,5.0,1
Trần Văn Đô,Xài ok,5.0,1
Phượng,Quạt xài tốt có điều hơn tốn nước nha mn.nhưng mn co thể quạt k đổ nước,4.0,1
Nam,"Chạy êm, dễ dàng tăng giảm gió theo nhu cầu sử dụng. Gió mang hơi nước làm mát và tăng độ ẩm không khí trong nhà, cảm giác mát dễ chịu. Di chuyển linh trong gia đình. TỐT",4.0,1
Chau,quạt rất mát 10đ,5.0,1
Nguyễn Thị Quỳnh Giao,Sản phẩm tốt nhé,4.0,1
Nguyễn Thị Anh Thư,"Sử dụng thì rất tốt, chị chưa thay nước máy nên phần đó chị chưa biết",5.0,1
Trương Thị Yến Luôn,Sp ok,5.0,1
Cô Hiền,Dung tốt,4.0,1
Tuấn Em,Tốt,5.0,1
Anh Đăng,ok,5.0,1
HOÀNG THỊ MỸ,Quạt mát dễ chịu nha mn xài tiện dụng di chuyển dược,5.0,1
Nguyễn Thành Nhân,Ko mát máy. Mà còn rất nóng như lửa,2.0,1
Nguyễn Thị Thanh,Nước làm mát nhanh hết. Bơm đầy bình chứa mà chưa đầy buổi sáng nước đã hết rồi,4.0,1
Anh Quang,"Chống được nắng nóng , nói chung nên mua",4.0,1
Nguyen Thi Thanh Tuyen,Rất tốt,4.0,1
LÊ THỊ ĐÀO,Tốt lắm e,5.0,1
Võ Thị Hồng Nhung,"Rất im, mát, thích hợp với mùa nóng",5.0,1
Hà,Dùng tốt.,4.0,1
Anh Nhân,Mình đã mua và đang dùng sao có mùi gì thôi thôi lắm làm sao để khắc phục,3.0,1
Trần Tuấn Vũ,quạt rất mát,5.0,1
Mun,Rất tốt,5.0,1
Trương Tuấn Phong,"Mở số1 êm ,mình để chỗ thoáng nữa quá ok",5.0,1
Anh Quí,rất ok,5.0,1
Tú,Quat xai tot,5.0,1
Lê Văn Cảnh,Ok,5.0,1
Nguyễn Thị Ngọc Trinh,"Hên có cái quạt này ngồi nhậu nó đỡ chứ mà thời tiết này thua, mà đâu nhậu trong máy lạnh được",5.0,1
TRẦN KHẮC TUẤN,Tốt trong tầm giá,5.0,1
Nguyễn Thị Hoàng Mai,"Mới mua hồi trưa. Mở số 2 và 3 thì hơi ồn. Hơi hao nước nhe. Quạt bự lắm. Nhưng bù lại rất mát, mát lạnh như xài máy lạnh luôn ak. Biết sớm mua xài ngủ cho ngon roi. Mua dc giá 39990 quá đã",5.0,1
Chị Phương,Quạt Sài rất mát,5.0,1
